Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-534.1415,0,-540.426,0,-534.1415,0
1,-529.6079,0,-534.6511,0,-529.6079,0
2,-524.0471,0,NaN,0,-524.0471,0
3,-520.4454,0,NaN,0,-520.4454,0
4,-519.4006,0,NaN,0,-519.4006,0
5,-519.3527,0,NaN,0,-519.3527,0
6,-519.3045,0,NaN,0,-519.3045,0
7,-519.1833,0,NaN,0,-519.1833,0
8,-519.1584,0,NaN,0,-519.1584,0
9,-519.1835,0,NaN,0,-519.1835,0
10,-516.2233,0,-526.8528,0,-516.2233,0
11,-502.3802,0,NaN,0,-502.3802,0
12,-489.8872,0,-503.2928,0,-489.8872,0
13,-489.5602,0,NaN,0,-489.5602,0
14,-489.3136,0,NaN,0,-489.3136,0

